Project_ID,Project_counties,Is_TIA_project,Project_description,Last_refresh,Project_URL
M005416,Fulton,No,Trees Along Moores Mill RD @ I-75,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=M005416
0019209,DeKalb,No,N Shallowford RD From Chamblee Dunwoody RD To Cotillion Dr-LCI,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0019209
0019210,Douglas,No,Fairburn Road From CS 578/Hospital Drive To SR 5/SR 8 - LCI,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0019210
0019211,Fulton,No,North Point Alpha Link Trail - LCI,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0019211
0019212,Gwinnett,No,Buford Trail Ext From S Lee Street To SR 13 - Phase II - LCI,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0019212
0019213,Gwinnett,No,Innovation District Trail From Engineering To Woodhill - LCI,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0019213
0019214,Gwinnett,No,Sugar Hill Greenway From SR 20 To Stanley Street - LCI,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0019214
0019215,Gwinnett,No,Infinite Loop Trail From Sugarloaf Pkwy To St Ives Court - LCI,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0019215
0019216,Gwinnett,No,Suwanee Loop Trail - LCI,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0019216
0019131,Fulton,No,SR 92 @ CS 1441/Crabapple Road,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0019131
0019132,Cobb,No,SR 3/US 41 @ SR 120,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0019132
0019133,Fulton,No,SR 13 @ CS 434/Lenox Road & @ CS 3465/Sidney Marcus Blvd,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0019133
0019134,Fulton,No,SR 3 @ CS 4/West Paces Ferry Road,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0019134
0019136,"Forsyth , Fulton",No,SR 141 From Johns Creek Pkwy/Forsyth To Hospital Pkwy/Fulton,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0019136
0019202,Fulton,No,CS 3695/Peachtree St From Ellis St To Baker St - LCI,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0019202
0019205,Cherokee,No,CR 8998/Bells Ferry RD From Victory Drive To Summer Drive-LCI,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0019205
0019206,Cherokee,No,Holly St From Old Holly Springs RD To Holly Springs Pkwy-LCI,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0019206
0019207,Cobb,No,Powder Springs Silver Comet Trail Connector - LCI,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0019207
0019208,DeKalb,No,New Peachtree RD From Stewart RD To Oakcliff RD - Phase II - LCI,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0019208
M006124,DeKalb,No,SR 13 From Fulton County Line To CS 757/Chamblee Tucker RD,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=M006124
M006074,"Clayton , DeKalb , Fulton",No,I-285 From SR 42/Dekalb To W Of CR 171/Conley Road/Clayton,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=M006074
M006470,Fulton,No,SR 154 From SR 70 To I-285,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=M006470
M006485,"Cobb , DeKalb , Fulton",No,Bridge Preservation @ 7 Locs In Cobb|Dekalb & Fulton,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=M006485
M006487,"Clayton , Fulton",No,Bridge Preservation @ 7 Locs In Clayton & Fulton County,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=M006487
M006495,Fulton,No,SR 8 & SR 8 We From SR 3 To SR 42,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=M006495
M006500,"Barrow , Forsyth , Hall , Jackson",No,Bridge Preservation @ 4 SR Locs In District 1,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=M006500
M006428,Clayton,No,SR 85 From Roberts Drive To N Of 85Th Circle,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=M006428
M006431,Cherokee,No,SR 108 From SR 20 To SR 140,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=M006431
M006444,"Carroll , Douglas",No,I-20 From SR 61/Carroll To E Of CS 975/Liberty Road/Douglas,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=M006444
M006459,DeKalb,No,SR 155 @ Snapfinger Creek - Bridge Rehab,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=M006459
M005630,Cherokee,No,SR 92 From CS 734/Laurel Wood Drive To Cobb County Line,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=M005630
0020374,Fulton,No,SR 6 @ Bakers Ferry Road,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020374
0020375,Douglas,No,SR 6 @ Oak Ridge Road/Skyview Road,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020375
