Project_ID,Construction_status,Project_manager,Project_cost,Project_counties,Description,Description_short,Is_TIA_project,Project_URL
0000297,COMPLETED-CONSTRUCTION,Jason W. Mobley,34881555.61,Upson,"This project proposes to widen the 4-lanes of US 19 to make them 12'. It also proposes to add a raised median. The project begins at the intersection of US 19 and County Road and ends at the intersection of US 19 and Atwater Road approximately 2 miles north of Thomaston. Also, as part of this project, Delray road will be realigned to intersect with US 19 and Jimmerson Road. A signal will be added at this location.",US 19/SR 3 - Widening & Reconstr,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000297
0001339,PRE-CONSTRUCTION,Albert V. Shelby III,18479286.0,"Crawford , Lamar",,SR 7/US 341 Passing Lanes @ 5 Locations Crawford& Lamar Co.,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001339
0004407,UNDER-CONSTRUCTION,Stanley Hill,0.0,Coweta,"The proposed project would consist of maintenance and operational improvements along Lower Fayetteville Road from Greison Trail to SR 54 (Fischer Road) in Coweta County. The existing 2-lane roadway's pavement would be widened 2 feet on each side, except in the area of the Chandler's Lake Dam where all widening would occur on the southern side of the roadway. The project would include leveling and resurfacing of the roadway, as well as shoulder improvements. The intersections of Lower Fayetteville Road with Sullivan Road, Lora Smith Road, and Parks Road would be improved to include turn lanes. The proposed project would generally be constructed within the existing 80-foot right-of-way, except at the intersections, which are to be improved. Approx. 20 feet of right-of-way will be acquired at each intersection. The total project length is approx. 9.65 miles. Traffic would be maintained on the existing roadways during construction. This is a local let GRTA Arterial project.",Lower Fayetteville RD From Grieson Trail To Fischer RD- GRTA,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0004407
0005749,PRE-CONSTRUCTION,Albert V. Shelby III,3662032.52,Muscogee,Project would add one lane in each direction along Whittlesey Road from Bradley Park Drive to Whitesville Road.,CR 1618/Whittlesey RD From N Of Rollins Way To Bradley Park Dr,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0005749
0006317,PRE-CONSTRUCTION,Albert V. Shelby III,1336000.0,Henry,,CR 650/Hampton-Locust Grove RD @ Towaliga River,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006317
0006878,PRE-CONSTRUCTION,Albert V. Shelby III,33258618.0,Coweta,,Amlajack Blvd Extension @ I-85 - Interchange,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006878
0006903,PRE-CONSTRUCTION,Albert V. Shelby III,16499000.0,Fayette,,W Fayetteville Bypass From Sandy Creek RD To Harp/Redwine RD,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006903
0006905,PRE-CONSTRUCTION,Albert V. Shelby III,32406755.0,Fayette,,SR 74 @ SR 54 - Grade Separation,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006905
0006965,PRE-CONSTRUCTION,Albert V. Shelby III,46528000.0,Upson,,Thomaston Truck Route From US 19 To SR 36,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006965
0006966,PRE-CONSTRUCTION,Albert V. Shelby III,38105000.0,Upson,,Thomaston Truck Route From SR 74 To SR 19,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006966
