Project_ID,Project_URL,Total_Cost,Project_manager,Description
0000297,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000297,34881555.61,Jason W. Mobley,"This project proposes to widen the 4-lanes of US 19 to make them 12'. It also proposes to add a raised median. The project begins at the intersection of US 19 and County Road and ends at the intersection of US 19 and Atwater Road approximately 2 miles north of Thomaston. Also, as part of this project, Delray road will be realigned to intersect with US 19 and Jimmerson Road. A signal will be added at this location."
0001339,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001339,18479286.0,Albert V. Shelby III,
0004407,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0004407,0.0,Stanley Hill,"The proposed project would consist of maintenance and operational improvements along Lower Fayetteville Road from Greison Trail to SR 54 (Fischer Road) in Coweta County. The existing 2-lane roadway's pavement would be widened 2 feet on each side, except in the area of the Chandler's Lake Dam where all widening would occur on the southern side of the roadway. The project would include leveling and resurfacing of the roadway, as well as shoulder improvements. The intersections of Lower Fayetteville Road with Sullivan Road, Lora Smith Road, and Parks Road would be improved to include turn lanes. The proposed project would generally be constructed within the existing 80-foot right-of-way, except at the intersections, which are to be improved. Approx. 20 feet of right-of-way will be acquired at each intersection. The total project length is approx. 9.65 miles. Traffic would be maintained on the existing roadways during construction. This is a local let GRTA Arterial project."
0005749,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0005749,3662032.52,Albert V. Shelby III,Project would add one lane in each direction along Whittlesey Road from Bradley Park Drive to Whitesville Road.
0006317,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006317,1336000.0,Albert V. Shelby III,
0006878,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006878,33258618.0,Albert V. Shelby III,
0006903,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006903,16499000.0,Albert V. Shelby III,
0006905,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006905,32406755.0,Albert V. Shelby III,
0006965,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006965,46528000.0,Albert V. Shelby III,
0006966,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006966,38105000.0,Albert V. Shelby III,
